"player_names","player_ids"
"Francesco Acerbi",54968
"Mattia Destro",67434
"Nicolò Zaniolo",332398
"Alberto Grassi",240989
"Pawel Dawidowicz",121577
"Simone Romagnoli",67256
"Ethan Ampadu",322418
"Cristiano Biraghi",93935
"Davide Biraschi",123767
"Alessandro Florenzi",101596
"Aleksey Miranchuk",129354
"Rick Karsdorp",232249
"Nahitan Nández",280928
"Federico Dimarco",255929
"Alexis Saelemaekers",365308
"Ivan Ilic",401042
"Federico Bernardeschi",122402
"Darko Lazovic",38442
"Mërgim Vojvoda",228854
"Mattia Viti",423451
"Joaquín Correa",125378
"Rodrigo Bentancur",303657
"Ridgeciano Haps",122398
"Berat Djimsiti",100962
"Rogerio",345682
"Brahim Díaz",317541
"Grigoris Kastanos",275831
"Alexis Sánchez",25244
"Andrea Belotti",112272
"Mattia Caldara",137832
"Maya Yoshida",37204
"Ola Aina",315543
"Salvatore Sirigu",22627
"Alex Sandro",100995
"Mattia Aramu",143525
"Luca Pellegrini",332268
"Matias Viña",397846
"Walace",147923
"Matteo Darmian",23220
"Daniele Verde",244301
"Raoul Bellanova",349184
"Arthur Theate",399961
"Alessandro Buongiorno",333373
"Matteo Politano",122683
"Andrea Consigli",42879
"Riccardo Saponara",90878
"Rui Patrício",23089
"Dennis Praet",106413
"Nahuel Molina",303728
"Thomas Strakosha",121480
"Roberto Soriano",78906
"Gianluca Mancini",244804
"Rolando Mandragora",241020
"Sofian Kiyine",331043
"Martin Erlic",261474
"Eljif Elmas",339579
"Antonio Sanabria",135057
"Bram Nuytinck",77422
"Igor Julio",382241
"Andrea Cambiaso",423440
"Iyenoma Udogie",401044
"Miguel Veloso",22182
"Ricardo Rodríguez",61610
"Gian Marco Ferrari",145352
"Juan Musso",126278
"Samuele Ricci",372509
"Federico Di Francesco",128605
"Antonio Vacca",343616
"Lorenzo De Silvestri",19580
"Emil Audero",254692
"Davide Zappacosta",141312
"Alessio Cragno",106906
"Elseid Hysaj",108345
"Alex Ferrari",130043
"Fabiano Parisi",423918
"David Okereke",315538
"Gary Medel",29390
"Gianluca Busio",358142
"Stephan El Shaarawy",70087
"Manolo Portanova",375437
"Adam Marusic",275698
"Cristian Ansaldi",23001
"Emmanuel Gyasi",143526
"Rodrigo Becão",338507
"Danilo Cataldi",118147
"Nicolò Casale",349406
"Adrien Silva",32598
"Razvan Marin",239013
"Riccardo Sottil",355391
"Vid Belec",78881
"Tolgay Arslan",77443
"Lucas Leiva",31451
"Rade Krunic",294163
"Juan Jesus",84603
"Leonardo Pavoletti",95822
"Arthur",284114
"Riccardo Gagliolo",122452
"Kevin Agudelo",382636
"Petko Hristov",344226
"David Zima",404203
"Dimitrios Nikolaou",303020
"Nicolas Haas",344206
"Roberto Pereyra",90000
"Marko Pjaca",242432
"Albin Ekdal",25764
"Thomas Henry",301074
"Gastón Pereiro",289327
"Arkadiusz Reca",362599
"Kelvin Amian",297210
"Rey Manaj",294136
"Giuseppe Pezzella",298515
"Tommaso Augello",343559
"Adama Soumaoro",11895
"Ante Rebic",101735
"Federico Bonazzoli",149543
